lookback,entry,exit,stop_loss,top_n,rebal,tc,ann_ret,ann_vol,sharpe,max_dd,win_rate,n_trades
60,2.5,0.5,4.0,5,Daily,0% (no cost),0.06353504839528766,0.17293282969220833,0.36739726348299206,-0.3506400750157651,0.49571603427172584,933
60,2.5,0.5,3.0,3,Monthly,0% (no cost),0.09591421668270914,0.26163618240680603,0.3665938548727811,-0.4055717018615257,0.5201660735468565,193
20,1.0,0.5,4.0,10,Monthly,0% (no cost),0.06944458160441211,0.18971052081866227,0.3660555108105564,-0.40920476200893596,0.5037006578947368,1015
60,2.5,0.0,4.0,10,Daily,0% (no cost),0.060050135200722804,0.16604092608804588,0.36165863811720883,-0.3358004665151456,0.4902120717781403,902
60,2.5,0.5,3.0,5,Monthly,0% (no cost),0.08889619252311123,0.24803710275629082,0.35839876992296715,-0.31811859998952297,0.5172991071428571,198
60,1.5,0.5,4.0,5,2x/Month,0% (no cost),0.05617557026899789,0.1571045010982723,0.3575681783544753,-0.3077610570147675,0.49612719119445575,895
60,2.0,0.5,4.0,10,Monthly,0% (no cost),0.0707302709441323,0.1980405871314333,0.3571503799733276,-0.4445037101149186,0.5006273525721455,418
60,2.5,0.5,4.0,3,Daily,0% (no cost),0.0622670202354179,0.17492755261292334,0.35595890587460105,-0.36907239870795805,0.4969400244798042,940
60,2.0,0.5,3.0,10,Daily,0% (no cost),0.05648932157168284,0.1592059711638564,0.35481911362195995,-0.35264027982866974,0.49185004074979627,1304
60,2.0,0.5,3.0,5,Daily,0% (no cost),0.05617513942903461,0.1585699240726786,0.35426099720705817,-0.33510823976459736,0.49185004074979627,1312
60,1.0,0.5,4.0,3,2x/Month,0% (no cost),0.05380037423027528,0.1519887591413101,0.3539760080563254,-0.32813238708407166,0.5055034651447208,927
20,1.0,0.5,4.0,5,Monthly,0% (no cost),0.06866877927263393,0.19668172230385667,0.34913655660665033,-0.39589061976856355,0.510016694490818,803
60,1.5,0.5,4.0,5,Monthly,0% (no cost),0.06585846692929485,0.189512597417795,0.3475149822579068,-0.4079439494107616,0.4912209064924459,590
60,2.5,0.5,3.0,5,Daily,0% (no cost),0.05975001955158051,0.1720852604335777,0.34721172168399117,-0.3692550529642341,0.4969400244798042,937
126,2.5,0.0,4.0,10,2x/Month,0% (no cost),0.07470051880225648,0.21673847242587815,0.34465740191927907,-0.3599179707290797,0.4894351013367831,299
60,2.5,0.0,4.0,5,Daily,0% (no cost),0.05729588860758694,0.1673987092254187,0.34227198568438444,-0.35698865006664804,0.4902120717781403,906
60,1.0,0.0,3.0,3,Monthly,0% (no cost),0.054699757883364584,0.16200378888155365,0.33764492954765024,-0.2976405996243032,0.4981625153123724,585
126,1.0,0.5,4.0,5,2x/Month,0% (no cost),0.05064683686551578,0.15150438468258506,0.3342928785303827,-0.2332427276978427,0.4825849769198489,788
60,2.0,0.5,4.0,5,Monthly,0% (no cost),0.0663267895748896,0.19881001596428866,0.3336189540209261,-0.47034612035264145,0.4985361773316604,403
126,2.5,0.5,3.0,5,2x/Month,0% (no cost),0.0721197163260449,0.21627670536018345,0.3334603983630044,-0.4332151228990062,0.47873739587900044,354
60,1.5,0.5,4.0,10,2x/Month,0% (no cost),0.0530895305017043,0.15922299135610488,0.3334287972455478,-0.30494178780098613,0.49041989400733793,923
60,2.5,0.5,3.0,10,2x/Month,0% (no cost),0.07373879598045119,0.22245161243874303,0.331482407216791,-0.34599809397124925,0.49148099606815204,379
60,2.0,0.5,3.0,5,2x/Month,0% (no cost),0.0553085568718376,0.16812507059603451,0.3289726908411608,-0.2664442454274264,0.48173984407057857,722
60,2.5,0.0,3.0,10,Daily,0% (no cost),0.05463844658353331,0.16666885075814086,0.3278263834843448,-0.37270521763044484,0.48898858075040785,909
60,1.0,0.0,3.0,5,Monthly,0% (no cost),0.051339549539627403,0.1572142597128045,0.3265578429934622,-0.28876347736502816,0.483265306122449,740
60,1.0,0.0,4.0,10,Monthly,0% (no cost),0.052623352780967525,0.16184652938428212,0.3251435355528735,-0.33605103634740674,0.48367346938775513,826
60,1.5,0.0,4.0,10,Monthly,0% (no cost),0.057652139567906935,0.17743036832581646,0.3249282527669669,-0.35410946518576614,0.48305430788076764,646
60,2.0,0.5,3.0,10,2x/Month,0% (no cost),0.06081486931975485,0.1882659013265453,0.32302646889981457,-0.26780056889487125,0.48237704918032787,743
20,1.0,0.5,3.0,5,Monthly,0% (no cost),0.06329565474738329,0.19639841447632592,0.322281902917363,-0.4431839645291328,0.5121746431570109,806
126,2.5,0.5,3.0,10,2x/Month,0% (no cost),0.06906385763589763,0.21640029839750147,0.3191486247816331,-0.43321512289900554,0.47829899167032003,355
60,2.0,0.0,4.0,3,Monthly,0% (no cost),0.06072891516949628,0.19033432988373467,0.3190644336552025,-0.46846978743642964,0.4954695222405272,374
60,1.5,0.0,4.0,3,Monthly,0% (no cost),0.059688580259878936,0.1875485459799695,0.318256694276125,-0.433962954543025,0.48713760718660676,498
20,2.0,0.5,3.0,3,Monthly,0% (no cost),0.07797487941824334,0.24738922128862115,0.3151910944708158,-0.2990444216528141,0.5106635071090048,323
60,1.0,0.0,3.0,3,2x/Month,0% (no cost),0.04457746880977604,0.14158803458140187,0.31483923723898816,-0.2641921534849003,0.4883815735833673,980
126,2.5,0.0,3.0,3,2x/Month,0% (no cost),0.06430810128992873,0.20468843521703758,0.31417554793333013,-0.4345723966064169,0.4785553047404063,343
60,2.5,0.0,4.0,3,Daily,0% (no cost),0.05303712207592646,0.16898048048319428,0.3138653761917856,-0.3797292093423468,0.49061990212071777,909
60,2.0,0.5,3.0,3,Daily,0% (no cost),0.04838993926657909,0.15476319900877464,0.31267083891071235,-0.33048687609344496,0.4930725346373268,1318
60,1.0,0.5,3.0,5,2x/Month,0% (no cost),0.046462424532858614,0.1492139072057856,0.3113813276719631,-0.25006843692385705,0.49205055034651446,1108
20,2.5,0.0,3.0,10,2x/Month,0% (no cost),0.07289293727637067,0.23528331186435647,0.3098092112813946,-0.344963852004208,0.5100154083204931,229
20,1.5,0.5,3.0,3,Monthly,0% (no cost),0.06604534197736639,0.21475132388397794,0.30754335192386617,-0.3011939794392692,0.5090739879013495,513
60,2.5,0.0,3.0,10,2x/Month,0% (no cost),0.0663829636801881,0.2161851432139373,0.30706533618961673,-0.34271365948630717,0.4822817631806396,388
