date,series_id,series_group,return
2019-04-01,buy_hold_start,baseline,0.027896407577024496
2019-05-01,momentum,strategy,-0.042574353968316284
2019-05-01,mean_reversion,strategy,0.04178137143091565
2019-05-01,ew_dow30,baseline,-0.06018993889138824
2019-05-01,t_bill,baseline,0.0019783315388448575
2019-05-01,dia,baseline,-0.06377841356869018
2019-05-01,buy_hold_start,baseline,-0.05282134677996386
2019-06-01,momentum,strategy,0.08432126794261766
2019-06-01,mean_reversion,strategy,0.08271280587871188
2019-06-01,ew_dow30,baseline,0.07176762116618707
2019-06-01,t_bill,baseline,0.0018314389855376145
2019-06-01,dia,baseline,0.07357679842788256
2019-06-01,buy_hold_start,baseline,0.06642369090822298
2019-07-01,momentum,strategy,0.013435737478049804
2019-07-01,mean_reversion,strategy,-0.006024403124756383
2019-07-01,ew_dow30,baseline,0.008102468664579643
2019-07-01,t_bill,baseline,0.0017742500619841728
2019-07-01,dia,baseline,0.010871142442743675
2019-07-01,buy_hold_start,baseline,0.006579492710315105
2019-08-01,momentum,strategy,0.011207119025551585
2019-08-01,mean_reversion,strategy,-0.02366262403349617
2019-08-01,ew_dow30,baseline,-0.02328702189999099
2019-08-01,t_bill,baseline,0.0017088472872299754
2019-08-01,dia,baseline,-0.013755979937278062
2019-08-01,buy_hold_start,baseline,-0.016000975309724774
2019-09-01,momentum,strategy,-0.002651102490144952
2019-09-01,mean_reversion,strategy,0.02829111654896921
2019-09-01,ew_dow30,baseline,0.02706283461385084
2019-09-01,t_bill,baseline,0.0016433975062257744
2019-09-01,dia,baseline,0.021554635009176648
2019-09-01,buy_hold_start,baseline,0.01873255088828163
2019-10-01,momentum,strategy,-0.008540812890637482
2019-10-01,mean_reversion,strategy,0.0018055483581622678
2019-10-01,ew_dow30,baseline,0.007927154448390317
2019-10-01,t_bill,baseline,0.0014303602255574255
2019-10-01,dia,baseline,0.005473034842958802
2019-10-01,buy_hold_start,baseline,0.006933095554960689
2019-11-01,momentum,strategy,0.01249830267265595
2019-11-01,mean_reversion,strategy,-0.0072505536864384545
2019-11-01,ew_dow30,baseline,0.03425523488910387
2019-11-01,t_bill,baseline,0.0013072269593603636
2019-11-01,dia,baseline,0.040631699169836555
2019-11-01,buy_hold_start,baseline,0.03011401330984964
2019-12-01,momentum,strategy,0.03192735734703627
2019-12-01,mean_reversion,strategy,-0.018971005033164845
2019-12-01,ew_dow30,baseline,0.021834447349352804
2019-12-01,t_bill,baseline,0.0012825803067029184
2019-12-01,dia,baseline,0.017869464195124918
2019-12-01,buy_hold_start,baseline,0.02039148932022461
2020-01-01,momentum,strategy,0.013301240189718832
2020-01-01,mean_reversion,strategy,0.009125895819564356
2020-01-01,ew_dow30,baseline,-0.022243842370415767
2020-01-01,t_bill,baseline,0.0012661454966769181
2020-01-01,dia,baseline,-0.008933099030275726
2020-01-01,buy_hold_start,baseline,-0.009334998770446967
2020-02-01,momentum,strategy,-0.06150832774618626
2020-02-01,mean_reversion,strategy,-0.0145406809877896
2020-02-01,ew_dow30,baseline,-0.09807666002691051
2020-02-01,t_bill,baseline,0.0013072269593601415
2020-02-01,dia,baseline,-0.09616548192845487
2020-02-01,buy_hold_start,baseline,-0.09226288947730388
2020-03-01,momentum,strategy,-0.16544892932476352
2020-03-01,mean_reversion,strategy,0.05811954349433246
2020-03-01,ew_dow30,baseline,-0.11575498031639697
2020-03-01,t_bill,baseline,0.0003078116841002121
